 2^N を M進数で表したときの桁数
11 :   2  2  2  3  3|  3  3  4  4  4  5  5  5|  5  6  6  6  7  7  7  7|  8  8  8  9  9  9  9 10| 10 10 11 11 11 11 12 12| 12 13 13 13 14 14 14 14| 15 15 15 16 16 16 16 17| 17 17 18 18 18 18 19 19| 19 20 20 20 20 21 21 21 22 22 22 22 23 23 23 24 24 24 24 25 25 25 26 26 26 27 27 27 27 28 28 28 29 29 29 29 30 30 30 31 31 31 31 32 32 32 33 33 33 33 34 34 34 35 35 35 35 36 36 36 37 37 37 38
12 :   2  2  2  2  3|  3  3  4  4  4  4  5  5|  5  6  6  6  6  7  7  7|  7  8  8  8  9  9  9  9| 10 10 10 11 11 11 11 12| 12 12 12 13 13 13 14 14| 14 14 15 15 15 16 16 16| 16 17 17 17 18 18 18 18| 19 19 19 19 20 20 20 21 21 21 21 22 22 22 23 23 23 23 24 24 24 24 25 25 25 26 26 26 26 27 27 27 28 28 28 28 29 29 29 30 30 30 30 31 31 31 31 32 32 32 33 33 33 33 34 34 34 35 35 35 35 36 36 36
13 :   2  2  2  2  3|  3  3  3  4  4  4  5  5|  5  5  6  6  6  6  7  7|  7  8  8  8  8  9  9  9|  9 10 10 10 10 11 11 11| 12 12 12 12 13 13 13 13| 14 14 14 15 15 15 15 16| 16 16 16 17 17 17 18 18| 18 18 19 19 19 19 20 20 20 20 21 21 21 22 22 22 22 23 23 23 23 24 24 24 25 25 25 25 26 26 26 26 27 27 27 28 28 28 28 29 29 29 29 30 30 30 30 31 31 31 32 32 32 32 33 33 33 33 34 34 34 35 35 35
14 :   2  2  2  2  3|  3  3  3  4  4  4  4  5|  5  5  5  6  6  6  7  7|  7  7  8  8  8  8  9  9|  9  9 10 10 10 10 11 11| 11 12 12 12 12 13 13 13| 13 14 14 14 14 15 15 15| 15 16 16 16 17 17 17 17| 18 18 18 18 19 19 19 19 20 20 20 20 21 21 21 22 22 22 22 23 23 23 23 24 24 24 24 25 25 25 25 26 26 26 27 27 27 27 28 28 28 28 29 29 29 29 30 30 30 30 31 31 31 31 32 32 32 33 33 33 33 34 34 34
15 :   2  2  2  2  3|  3  3  3  4  4  4  4  5|  5  5  5  6  6  6  6  7|  7  7  7  8  8  8  8  9|  9  9  9 10 10 10 10 11| 11 11 12 12 12 12 13 13| 13 13 14 14 14 14 15 15| 15 15 16 16 16 16 17 17| 17 17 18 18 18 18 19 19 19 19 20 20 20 20 21 21 21 21 22 22 22 23 23 23 23 24 24 24 24 25 25 25 25 26 26 26 26 27 27 27 27 28 28 28 28 29 29 29 29 30 30 30 30 31 31 31 31 32 32 32 32 33 33 33
16 :   1  2  2  2  2|  3  3  3  3  4  4  4  4|  5  5  5  5  6  6  6  6|  7  7  7  7  8  8  8  8|  9  9  9  9 10 10 10 10| 11 11 11 11 12 12 12 12| 13 13 13 13 14 14 14 14| 15 15 15 15 16 16 16 16| 17 17 17 17 18 18 18 18 19 19 19 19 20 20 20 20 21 21 21 21 22 22 22 22 23 23 23 23 24 24 24 24 25 25 25 25 26 26 26 26 27 27 27 27 28 28 28 28 29 29 29 30 30 30 30 30 31 31 31 32 32 32 32 32
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
17 :   1  2  2  2  2|  3  3  3  3  4  4  4  4|  5  5  5  5  6  6  6  6|  7  7  7  7  8  8  8  8|  9  9  9  9 10 10 10 10| 11 11 11 11 12 12 12 12| 12 13 13 13 13 14 14 14| 14 15 15 15 15 16 16 16| 16 17 17 17 17 18 18 18 18 19 19 19 19 20 20 20 20 21 21 21 21 22 22 22 22 23 23 23 23 23 24 24 24 24 25 25 25 25 26 26 26 26 27 27 27 27 28 28 28 28 29 29 29 29 30 30 30 30 31 31 31 31 32 32
18 :   1  2  2  2  2|  3  3  3  3  4  4  4  4|  5  5  5  5  6  6  6  6|  6  7  7  7  7  8  8  8|  8  9  9  9  9 10 10 10| 10 11 11 11 11 12 12 12| 12 12 13 13 13 13 14 14| 14 14 15 15 15 15 16 16| 16 16 17 17 17 17 18 18 18 18 18 19 19 19 19 20 20 20 20 21 21 21 21 22 22 22 22 23 23 23 23 24 24 24 24 24 25 25 25 25 26 26 26 26 27 27 27 27 28 28 28 28 29 29 29 29 30 30 30 30 30 31 31 31
19 :   1  2  2  2  2|  3  3  3  3  4  4  4  4|  5  5  5  5  5  6  6  6|  6  7  7  7  7  8  8  8|  8  9  9  9  9  9 10 10| 10 10 11 11 11 11 12 12| 12 12 13 13 13 13 13 14| 14 14 14 15 15 15 15 16| 16 16 16 17 17 17 17 17 18 18 18 18 19 19 19 19 20 20 20 20 21 21 21 21 21 22 22 22 22 23 23 23 23 24 24 24 24 25 25 25 25 25 26 26 26 26 27 27 27 27 28 28 28 28 29 29 29 29 29 30 30 30 30 31
20 :   1  2  2  2  2|  3  3  3  3  4  4  4  4|  4  5  5  5  5  6  6  6|  6  7  7  7  7  7  8  8|  8  8  9  9  9  9 10 10| 10 10 10 11 11 11 11 12| 12 12 12 13 13 13 13 13| 14 14 14 14 15 15 15 15| 16 16 16 16 16 17 17 17 17 18 18 18 18 19 19 19 19 19 20 20 20 20 21 21 21 21 22 22 22 22 22 23 23 23 23 24 24 24 24 25 25 25 25 25 26 26 26 26 27 27 27 27 28 28 28 28 28 29 29 29 29 30 30 30
21 :   1  2  2  2  2|  3  3  3  3  3  4  4  4|  4  5  5  5  5  6  6  6|  6  6  7  7  7  7  8  8|  8  8  8  9  9  9  9 10| 10 10 10 11 11 11 11 11| 12 12 12 12 13 13 13 13| 13 14 14 14 14 15 15 15| 15 16 16 16 16 16 17 17 17 17 18 18 18 18 18 19 19 19 19 20 20 20 20 21 21 21 21 21 22 22 22 22 23 23 23 23 23 24 24 24 24 25 25 25 25 26 26 26 26 26 27 27 27 27 28 28 28 28 29 29 29 29 29 30
22 :   1  2  2  2  2|  3  3  3  3  3  4  4  4|  4  5  5  5  5  5  6  6|  6  6  7  7  7  7  7  8|  8  8  8  9  9  9  9  9| 10 10 10 10 11 11 11 11| 11 12 12 12 12 13 13 13| 13 14 14 14 14 14 15 15| 15 15 16 16 16 16 16 17 17 17 17 18 18 18 18 18 19 19 19 19 20 20 20 20 20 21 21 21 21 22 22 22 22 22 23 23 23 23 24 24 24 24 24 25 25 25 25 26 26 26 26 27 27 27 27 27 28 28 28 28 29 29 29 29
23 :   1  2  2  2  2|  2  3  3  3  3  4  4  4|  4  4  5  5  5  5  6  6|  6  6  6  7  7  7  7  8|  8  8  8  8  9  9  9  9| 10 10 10 10 10 11 11 11| 11 12 12 12 12 12 13 13| 13 13 14 14 14 14 14 15| 15 15 15 16 16 16 16 16 17 17 17 17 18 18 18 18 18 19 19 19 19 20 20 20 20 20 21 21 21 21 22 22 22 22 22 23 23 23 23 23 24 24 24 24 25 25 25 25 25 26 26 26 26 27 27 27 27 27 28 28 28 28 29 29
24 :   1  2  2  2  2|  2  3  3  3  3  4  4  4|  4  4  5  5  5  5  6  6|  6  6  6  7  7  7  7  7|  8  8  8  8  9  9  9  9|  9 10 10 10 10 11 11 11| 11 11 12 12 12 12 12 13| 13 13 13 14 14 14 14 14| 15 15 15 15 16 16 16 16 16 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 21 21 21 21 21 22 22 22 22 23 23 23 23 23 24 24 24 24 24 25 25 25 25 26 26 26 26 26 27 27 27 27 28 28 28 28 28
25 :   1  2  2  2  2|  2  3  3  3  3  4  4  4|  4  4  5  5  5  5  5  6|  6  6  6  7  7  7  7  7|  8  8  8  8  8  9  9  9|  9 10 10 10 10 10 11 11| 11 11 11 12 12 12 12 13| 13 13 13 13 14 14 14 14| 14 15 15 15 15 16 16 16 16 16 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 21 21 21 21 21 22 22 22 22 22 23 23 23 23 24 24 24 24 24 25 25 25 25 25 26 26 26 26 27 27 27 27 27 28 28 28
26 :   1  2  2  2  2|  2  3  3  3  3  3  4  4|  4  4  5  5  5  5  5  6|  6  6  6  6  7  7  7  7|  8  8  8  8  8  9  9  9|  9  9 10 10 10 10 10 11| 11 11 11 12 12 12 12 12| 13 13 13 13 13 14 14 14| 14 15 15 15 15 15 16 16 16 16 16 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 22 22 22 22 22 23 23 23 23 23 24 24 24 24 25 25 25 25 25 26 26 26 26 26 27 27 27 27 28 28
27 :   1  2  2  2  2|  2  3  3  3  3  3  4  4|  4  4  4  5  5  5  5  6|  6  6  6  6  7  7  7  7|  7  8  8  8  8  8  9  9|  9  9 10 10 10 10 10 11| 11 11 11 11 12 12 12 12| 12 13 13 13 13 14 14 14| 14 14 15 15 15 15 15 16 16 16 16 16 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 22 22 22 22 22 23 23 23 23 23 24 24 24 24 24 25 25 25 25 26 26 26 26 26 27 27 27 27 27
28 :   1  2  2  2  2|  2  3  3  3  3  3  4  4|  4  4  4  5  5  5  5  5|  6  6  6  6  7  7  7  7|  7  8  8  8  8  8  9  9|  9  9  9 10 10 10 10 10| 11 11 11 11 12 12 12 12| 12 13 13 13 13 13 14 14| 14 14 14 15 15 15 15 15 16 16 16 16 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 22 22 22 22 22 23 23 23 23 23 24 24 24 24 24 25 25 25 25 25 26 26 26 26 27 27 27 27
29 :   1  2  2  2  2|  2  3  3  3  3  3  4  4|  4  4  4  5  5  5  5  5|  6  6  6  6  6  7  7  7|  7  7  8  8  8  8  9  9|  9  9  9 10 10 10 10 10| 11 11 11 11 11 12 12 12| 12 12 13 13 13 13 13 14| 14 14 14 14 15 15 15 15 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 22 22 22 22 23 23 23 23 23 24 24 24 24 24 25 25 25 25 25 26 26 26 26 26 27 27
30 :   1  2  2  2  2|  2  3  3  3  3  3  4  4|  4  4  4  5  5  5  5  5|  6  6  6  6  6  7  7  7|  7  7  8  8  8  8  8  9|  9  9  9  9 10 10 10 10| 10 11 11 11 11 12 12 12| 12 12 13 13 13 13 13 14| 14 14 14 14 15 15 15 15 15 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 22 22 22 22 23 23 23 23 23 24 24 24 24 24 25 25 25 25 25 26 26 26 26 26 27
31 :   1  2  2  2  2|  2  3  3  3  3  3  4  4|  4  4  4  5  5  5  5  5|  6  6  6  6  6  7  7  7|  7  7  8  8  8  8  8  9|  9  9  9  9 10 10 10 10| 10 11 11 11 11 11 12 12| 12 12 12 13 13 13 13 13| 14 14 14 14 14 15 15 15 15 15 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 22 22 22 22 23 23 23 23 23 24 24 24 24 24 25 25 25 25 25 26 26 26 26 26
32 :   1  1  2  2  2|  2  2  3  3  3  3  3  4|  4  4  4  4  5  5  5  5|  5  6  6  6  6  6  7  7|  7  7  7  8  8  8  8  8|  9  9  9  9  9 10 10 10| 10 10 11 11 11 11 12 12| 12 12 12 12 13 13 13 13| 13 14 14 14 14 14 15 15 15 15 15 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 19 19 19 19 20 20 20 20 20 20 21 21 21 21 21 22 22 22 22 23 23 23 23 23 23 24 24 24 24 24 25 25 25 25 25 26 26 26
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
33 :   1  1  2  2  2|  2  2  3  3  3  3  3  4|  4  4  4  4  5  5  5  5|  5  6  6  6  6  6  7  7|  7  7  7  8  8  8  8  8|  9  9  9  9  9 10 10 10| 10 10 11 11 11 11 11 12| 12 12 12 12 13 13 13 13| 13 14 14 14 14 14 15 15 15 15 15 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 22 22 22 22 22 23 23 23 23 23 23 24 24 24 24 24 25 25 25 25 25 26 26
34 :   1  1  2  2  2|  2  2  3  3  3  3  3  4|  4  4  4  4  5  5  5  5|  5  6  6  6  6  6  7  7|  7  7  7  8  8  8  8  8|  9  9  9  9  9 10 10 10| 10 10 11 11 11 11 11 12| 12 12 12 12 12 13 13 13| 13 13 14 14 14 14 14 15 15 15 15 15 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 22 22 22 22 22 23 23 23 23 23 23 24 24 24 24 24 25 25 25 25 25 26
35 :   1  1  2  2  2|  2  2  3  3  3  3  3  4|  4  4  4  4  5  5  5  5|  5  6  6  6  6  6  7  7|  7  7  7  8  8  8  8  8|  8  9  9  9  9  9 10 10| 10 10 10 11 11 11 11 11| 12 12 12 12 12 13 13 13| 13 13 14 14 14 14 14 15 15 15 15 15 16 16 16 16 16 16 17 17 17 17 17 18 18 18 18 18 19 19 19 19 19 20 20 20 20 20 21 21 21 21 21 22 22 22 22 22 23 23 23 23 23 24 24 24 24 24 24 25 25 25 25 25
